title,year,creator,note
The Waves,1931,Virginia Woolf,
Ulysses,1922,James Joyce,
Dubliners,1914,James Joyce,
A Portrait of the Artist as a Young Man,1916,James Joyce,
Finnegans Wake,1939,James Joyce,
The Sound and the Fury,1929,William Faulkner,
As I Lay Dying,1930,William Faulkner,
Light in August,1932,William Faulkner,
Absalom Absalom!,1936,William Faulkner,
The Good Earth,1931,Pearl S. Buck,
Gone with the Wind,1936,Margaret Mitchell,
Rebecca,1938,Daphne du Maurier,
Native Son,1940,Richard Wright,
The Stranger,1942,Albert Camus,
The Plague,1947,Albert Camus,
The Fall,1956,Albert Camus,
The Myth of Sisyphus,1942,Albert Camus,
The Second Sex,1949,Simone de Beauvoir,
Invisible Man,1952,Ralph Ellison,
Fahrenheit 451,1953,Ray Bradbury,
The Martian Chronicles,1950,Ray Bradbury,
Something Wicked This Way Comes,1962,Ray Bradbury,
Foundation,1951,Isaac Asimov,
I Robot,1950,Isaac Asimov,
The Caves of Steel,1954,Isaac Asimov,
Childhood's End,1953,Arthur C. Clarke,
2001: A Space Odyssey,1968,Arthur C. Clarke,
Rendezvous with Rama,1973,Arthur C. Clarke,
Dune,1965,Frank Herbert,
Stranger in a Strange Land,1961,Robert A. Heinlein,
The Moon is a Harsh Mistress,1966,Robert A. Heinlein,
Starship Troopers,1959,Robert A. Heinlein,
The Left Hand of Darkness,1969,Ursula K. Le Guin,
The Dispossessed,1974,Ursula K. Le Guin,
A Wizard of Earthsea,1968,Ursula K. Le Guin,
The Handmaid's Tale,1985,Margaret Atwood,
Cat's Cradle,1963,Kurt Vonnegut,
Slaughterhouse-Five,1969,Kurt Vonnegut,
Breakfast of Champions,1973,Kurt Vonnegut,
One Flew Over the Cuckoo's Nest,1962,Ken Kesey,
The Bell Jar,1963,Sylvia Plath,
In Cold Blood,1966,Truman Capote,
Breakfast at Tiffany's,1958,Truman Capote,
On the Road,1957,Jack Kerouac,
The Dharma Bums,1958,Jack Kerouac,
Naked Lunch,1959,William S. Burroughs,
Catch-22,1961,Joseph Heller,
The Crying of Lot 49,1966,Thomas Pynchon,
Gravity's Rainbow,1973,Thomas Pynchon,
V.,1963,Thomas Pynchon,
The Godfather,1969,Mario Puzo,
Love Story,1970,Erich Segal,
Jonathan Livingston Seagull,1970,Richard Bach,
The Exorcist,1971,William Peter Blatty,
Watership Down,1972,Richard Adams,
The Princess Bride,1973,William Goldman,
Carrie,1974,Stephen King,
Salem's Lot,1975,Stephen King,
The Shining,1977,Stephen King,
The Stand,1978,Stephen King,
Interview with the Vampire,1976,Anne Rice,
The Thorn Birds,1977,Colleen McCullough,
The World According to Garp,1978,John Irving,
The Hotel New Hampshire,1981,John Irving,
A Prayer for Owen Meany,1989,John Irving,
The Color Purple,1982,Alice Walker,
The House of the Spirits,1982,Isabel Allende,
The Name of the Rose,1980,Umberto Eco,
Midnight's Children,1981,Salman Rushdie,
The Satanic Verses,1988,Salman Rushdie,
Love in the Time of Cholera,1985,Gabriel García Márquez,
The Unbearable Lightness of Being,1984,Milan Kundera,
The Bone People,1984,Keri Hulme,
Contact,1985,Carl Sagan,
It,1986,Stephen King,
Beloved,1987,Toni Morrison,
The Joy Luck Club,1989,Amy Tan,
Like Water for Chocolate,1989,Laura Esquivel,
The Pillars of the Earth,1989,Ken Follett,
Wild Swans,1991,Jung Chang,
The English Patient,1992,Michael Ondaatje,
The Stone Diaries,1993,Carol Shields,
The Shipping News,1993,Annie Proulx,
Trainspotting,1993,Irvine Welsh,
The Wind-Up Bird Chronicle,1994,Haruki Murakami,
Snow Falling on Cedars,1994,David Guterson,
The Golden Compass,1995,Philip Pullman,
Independence Day,1995,Richard Ford,
Primary Colors,1996,Joe Klein,
Fight Club,1996,Chuck Palahniuk,
Mason & Dixon,1997,Thomas Pynchon,
The God of Small Things,1997,Arundhati Roy,
Cold Mountain,1997,Charles Frazier,
The Hours,1998,Michael Cunningham,
The Poisonwood Bible,1998,Barbara Kingsolver,
Girl with a Pearl Earring,1999,Tracy Chevalier,
White Teeth,2000,Zadie Smith,
The Amazing Adventures of Kavalier & Clay,2000,Michael Chabon,
Life of Pi,2001,Yann Martel,
Atonement,2001,Ian McEwan,
The Corrections,2001,Jonathan Franzen,
Everything Is Illuminated,2002,Jonathan Safran Foer,
The Curious Incident of the Dog in the Night-Time,2003,Mark Haddon,
The Kite Runner,2003,Khaled Hosseini,
Cloud Atlas,2004,David Mitchell,
Never Let Me Go,2005,Kazuo Ishiguro,
The Road,2006,Cormac McCarthy,
The Brief Wondrous Life of Oscar Wao,2007,Junot Díaz,
The Story of Edgar Sawtelle,2008,David Wroblewski,
Wolf Hall,2009,Hilary Mantel,
The Help,2009,Kathryn Stockett,
Room,2010,Emma Donoghue,
A Visit from the Goon Squad,2010,Jennifer Egan,
The Tiger's Wife,2011,Téa Obreht,
Gone Girl,2012,Gillian Flynn,
The Goldfinch,2013,Donna Tartt,
All the Light We Cannot See,2014,Anthony Doerr,
The Girl on the Train,2015,Paula Hawkins,
The Underground Railroad,2016,Colson Whitehead,
Lincoln in the Bardo,2017,George Saunders,
Less,2017,Andrew Sean Greer,
The Overstory,2018,Richard Powers,
Normal People,2018,Sally Rooney,
The Testaments,2019,Margaret Atwood,
The Nickel Boys,2019,Colson Whitehead,
Hamnet,2020,Maggie O'Farrell,
The Midnight Library,2020,Matt Haig,
Klara and the Sun,2021,Kazuo Ishiguro,
Beautiful World Where Are You,2021,Sally Rooney,
Cloud Cuckoo Land,2021,Anthony Doerr,
The Lincoln Highway,2021,Amor Towles,
Tomorrow and Tomorrow and Tomorrow,2022,Gabrielle Zevin,
Demon Copperhead,2022,Barbara Kingsolver,
Lessons in Chemistry,2022,Bonnie Garmus,
Prophet Song,2023,Paul Lynch,
Tom Lake,2023,Ann Patchett,
The Heaven & Earth Grocery Store,2023,James McBride,
