Item Title,List Name,List Description,Group,Date Added,Date Edited,Category,Pinned,Progress,Saved Web Link,Notes
"Hard-Boiled Wonderland and the End of the World","Books 📚","","Backlogs",9/7/23,9/7/23,Book,false,0.0,,""
"Hart's Hope","Books 📚","","Backlogs",9/7/23,9/7/23,Book,false,0.0,,""
"Hell Is a World Without You","Books 📚","","Backlogs",1/26/24,1/26/24,Book,false,0.0,,"Recommended by Max. About growing up evangelical"
"Horror Movie","Books 📚","","Backlogs",8/12/24,8/12/24,Book,false,0.0,,""
"How to Be Perfect","Books 📚","","Backlogs",12/14/23,12/14/23,Book,false,0.0,,"For some reason Michael Sur wrote a book on ethics."
"How to Write One Song","Books 📚","","Backlogs",7/25/24,7/25/24,Book,false,0.0,,"Recommended by Kurt Hamilton"
"Impact Mapping","Books 📚","","Backlogs",2/11/24,2/11/24,Book,false,0.0,,"Recommended by Keith McDonald at work. Short book with great advice and lots of great references."
"In Defense of Food","Books 📚","","Backlogs",9/7/23,9/7/23,Book,false,0.0,,""
"In a Sunburned Country","Books 📚","","Backlogs",9/7/23,9/7/23,Book,false,0.0,,""
"Into Thin Air","Books 📚","","Backlogs",9/7/23,9/7/23,Book,false,0.0,,""
"It's Not TV","Books 📚","","Backlogs",12/14/23,12/14/23,Book,false,0.0,,"I think Triple Click recommended."
"Lady Macbeth","Books 📚","","Backlogs",5/23/24,5/23/24,Book,false,0.0,,"Recommended by Mallory. Witchy. Scotland. Feminist retelling. "
"Language Implementation Patterns","Books 📚","","Backlogs",9/20/23,9/20/23,Book,false,0.0,,"Paul Hummer recommended this!"
"Liftoff: Couch to Barbell","Books 📚","","Backlogs",1/18/24,1/18/24,Book,false,0.0,,"By Casey Johnston Recommended by Maddie Myers. Although lifting is the end goal of the book it teaches body weight full body movement exercises that are good for anyone. "
"MCU: The Reign of Marvel Studios","Books 📚","","Backlogs",11/18/23,11/16/23,Book,false,0.0,,""
"Magic for Liars","Books 📚","","Backlogs",12/14/23,12/14/23,Book,false,0.0,,""
"Mortal Engines (Mortal Engines, Book 1)","Books 📚","","Backlogs",12/14/23,12/14/23,Book,false,0.0,,"Per Steven at work: If you can accept the premise it’s incredible."
"Notes from a Small Island","Books 📚","","Backlogs",9/7/23,9/7/23,Book,false,0.0,,""
"Of Blood and Fire","Books 📚","","Backlogs",1/26/24,1/26/24,Book,false,0.0,,"Recommended by Heidi. Ryan Cahill The bound and the broken #1"
"On Writing Well, 30th Anniversary Edition","Books 📚","","Backlogs",12/14/23,12/14/23,Book,false,0.0,,""
"One Flew Over the Cuckoo's Nest","Books 📚","","Backlogs",11/1/24,11/1/24,Book,false,0.0,,"One of Logan’s favorite books! Unreliable narrator."
"Ordinary Monsters","Books 📚","","Backlogs",9/9/23,9/9/23,Book,false,0.0,,"Eli got this for Logan after seeing it recommended at that book and liquor bar in Europe. "
"Out of the Silent Planet","Books 📚","","Backlogs",1/28/24,1/28/24,Book,false,0.0,,"Primagen recommends. Did a coin flip with JRR Tolkien for who does a space and does a time book. This is the space book. LOTR is the time book. "
"Outlive","Books 📚","","Backlogs",3/12/24,3/12/24,Book,false,0.0,,"Sai at work recommends. He says the longevity angle is marketing. But it really is generally about health and healthcare and he learned a lot. "
"Pericles and Aspasia","Books 📚","","Backlogs",11/28/24,11/28/24,Book,false,0.0,,"Read about it in Harper’s. Similar to Circe. "
"Red Mars","Books 📚","","Backlogs",12/14/23,12/14/23,Book,false,0.0,,""
"Retro Gaming: A Byte-sized History of Video Games","Books 📚","","Backlogs",12/14/23,12/14/23,Book,false,0.0,,"Author: Mike Diver"
"SQL Performance Explained","Books 📚","","Backlogs",12/14/23,12/14/23,Book,false,0.0,,"Author: Markus Winand"
"Shadow and Bone","Books 📚","","Backlogs",3/8/24,3/8/24,Book,false,0.0,,"Fantasy- table setting for six of crows "
"Six of Crows","Books 📚","","Backlogs",3/8/24,3/8/24,Book,false,0.0,,"Fantasy novel that follows a gang of six thieves! Maybe will scratch my lies of Locke lamora itch "
"Slough House","Books 📚","","Backlogs",7/25/24,7/25/24,Book,false,0.0,,"Recommended by DanielSpy novel "
"Slow Horses","Books 📚","","Backlogs",8/28/24,8/28/24,Book,false,0.0,,""
"Start with Why","Books 📚","","Backlogs",6/25/24,6/25/24,Book,false,0.0,,"AR3"
"Structure and Interpretation of Computer Programs","Books 📚","","Backlogs",11/18/24,11/18/24,Book,false,0.0,,"Stone cold classic, often referenced. Maybe as “up there” as the data intensive application. "
"Team of Vipers","Books 📚","","Backlogs",3/5/24,3/2/24,Book,false,0.0,,""
"Teenage Mutant Ninja Turtles: The Last Ronin","Books 📚","","Backlogs",9/20/23,9/20/23,Book,false,0.0,,"Got it from the digital library and tried to read on the Kindle app. It works really well but I just couldn’t stay interested reading that way. Definitely want to read it physically!"
"The Andromeda Evolution","Books 📚","","Backlogs",6/9/24,6/9/24,Book,false,0.0,,""
"The Appeal","Books 📚","","Backlogs",8/1/24,8/1/24,Book,false,0.0,,"Recommended by Conor Dilk"
"The Beauty of Games","Books 📚","","Backlogs",9/15/23,9/15/23,Book,false,0.0,,"Academic book technically. Recommended by Chris Plant. But just an enjoyable game criticism book. "
"The Boo (Enhanced Edition)","Books 📚","","Backlogs",9/7/23,9/7/23,Book,false,0.0,,""
"The Bright Sword","Books 📚","","Backlogs",5/27/24,5/27/24,Book,false,0.0,,"Another King Arthur retelling. Lev Grossman did the Magicians. "
"The Caped Crusade","Books 📚","","Backlogs",12/14/23,12/14/23,Book,false,0.0,,""
"The Complaints","Books 📚","","Backlogs",3/17/24,3/17/24,Book,false,0.0,,"Crime writer that Bourdain hung out with in an episode. "
"The Curse of Chalion","Books 📚","","Backlogs",5/23/24,5/23/24,Book,false,0.0,,"Kirk Hamilton"
"The Disappearing Spoon","Books 📚","","Backlogs",9/7/23,9/7/23,Book,false,0.0,,""
"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory","Books 📚","","Backlogs",9/7/23,9/7/23,Book,false,0.0,,""
"The Family Firm","Books 📚","","Backlogs",12/14/23,12/14/23,Book,false,0.0,,""
"The He-Man Effect","Books 📚","","Backlogs",12/14/23,12/14/23,Book,false,0.0,,""
"The Lost Shtetl","Books 📚","","Backlogs",5/23/24,5/23/24,Book,false,0.0,,"Jason Schreir"
"The Ministry for the Future","Books 📚","","Backlogs",12/14/23,12/14/23,Book,false,0.0,,""
"The Ministry of Time","Books 📚","","Backlogs",6/6/24,6/6/24,Book,false,0.0,,"Jason Schreier"
"The PARA Method","Books 📚","","Backlogs",1/29/24,1/29/24,Book,false,0.0,,"Recommended by Andrew Mason.Projects / Areas / Responsibilities. Something else.Don’t want to go all in but could be useful. "
"The Parliament","Books 📚","","Backlogs",8/29/24,8/29/24,Book,false,0.0,,"Recommended by reading glasses. Princess bride ajacent?"
"The Soul of A New Machine","Books 📚","","Backlogs",12/14/23,12/14/23,Book,false,0.0,,""
"The Surviving Sky","Books 📚","","Backlogs",9/11/23,9/11/23,Book,false,0.0,,"Saw at library. South Asian fantasy and a marriage story. "
"The Three-Body Problem","Books 📚","","Backlogs",10/23/23,10/23/23,Book,false,0.0,,""
"The Way Things Work Now","Books 📚","","Backlogs",12/14/23,12/14/23,Book,false,0.0,,""
"The last question","Books 📚","","Backlogs",7/15/24,7/15/24,Book,false,0.0,,""
"Thunderstruck","Books 📚","","Backlogs",3/1/24,3/1/24,Book,false,0.0,,"Historical. Fiction? It is a true story. By Erik Larson, author of Devil in the White City.Could be a good one to read with dad, or read and then give to dad. "
"Tomorrow, and Tomorrow, and Tomorrow","Books 📚","","Backlogs",12/14/23,8/1/24,Book,false,0.0,,"Recommended by Andrew Clark"
"Travels","Books 📚","","Backlogs",9/7/23,9/7/23,Book,false,0.0,,""
"Trust (Pulitzer Prize Winner)","Books 📚","","Backlogs",12/29/23,12/29/23,Book,false,0.0,,"Justin McElroy"
"Understanding Variation: The Key to Managing Chaos","Books 📚","","Backlogs",9/5/23,9/5/23,Book,false,0.0,,"By Donald J WheelerRecommended by CP Grey. He used it to figure out how to do logistics spreadsheets for cortex brand. "
"Unhinged","Books 📚","","Backlogs",10/13/23,10/13/23,Book,false,0.0,,"Recommended by satan "
"Video Game of the Year","Books 📚","","Backlogs",1/15/24,1/15/24,Book,false,0.0,,"He was a guest on DLC podcast"
"Wanderlust","Books 📚","","Backlogs",6/13/24,6/13/24,Book,false,0.0,,"Recommended on We Have Concerns"
"What's Going on in There?","Books 📚","","Backlogs",8/15/24,8/15/24,Book,false,0.0,,"Recommended by Heidi"
"When We Cease to Understand the World","Books 📚","","Backlogs",5/20/24,5/20/24,Book,false,0.0,,"Keith McDonald"
"When Will It Be Done?","Books 📚","","Backlogs",2/11/24,2/11/24,Book,false,0.0,,"By Daniel S VascantiRecommended by Keith McDonald.Book about how to do projections / estimates in Agile based on stories / velocity / etc. "
"Writing Tools","Books 📚","","Backlogs",7/25/24,7/25/24,Book,false,0.0,,"Recommended by Kurt Hamilton"
"Yellowface","Books 📚","","Backlogs",2/17/24,12/14/23,Book,false,0.0,,"Learned of it from Reading Glasses. Brea loves it. Huge book for 2023. "
"Your Money Life: Your 30s","Books 📚","","Backlogs",1/2/24,1/2/24,Book,true,0.0,,""
"Youth group","Books 📚","","Backlogs",2/17/24,1/12/24,Book,false,0.0,,"By Jordan morris friend of the besties. YA horror comedy "
"Demetri Martin: Demetri Deconstructed","Comedy Specials","","Backlogs",5/31/24,5/31/24,Movie,false,0.0,,""
"John Mulaney Presents: Everybody's in L.A.","Comedy Specials","","Backlogs",5/31/24,5/31/24,TV Show,false,0.0,,""
"A Confederacy of Dunces","Did Not Finish","I put this down without feeling like I was done with it yet. Could be because I didn’t want to finish it or because I do want to return to it one day. ","Tracking",9/7/23,9/7/23,Book,false,0.0,,""
"Abraham Lincoln: Vampire Hunter","Did Not Finish","I put this down without feeling like I was done with it yet. Could be because I didn’t want to finish it or because I do want to return to it one day. ","Tracking",9/7/23,9/7/23,Book,false,0.0,,""
"Atomic Habits","Did Not Finish","I put this down without feeling like I was done with it yet. Could be because I didn’t want to finish it or because I do want to return to it one day. ","Tracking",9/7/23,9/7/23,Book,false,0.0,,""
"Bridge of Clay","Did Not Finish","I put this down without feeling like I was done with it yet. Could be because I didn’t want to finish it or because I do want to return to it one day. ","Tracking",9/7/23,9/7/23,Book,false,0.0,,""
"Comedy Book","Did Not Finish","I put this down without feeling like I was done with it yet. Could be because I didn’t want to finish it or because I do want to return to it one day. ","Tracking",4/22/24,3/30/24,Book,false,0.0,,""
"Cultish","Did Not Finish","I put this down without feeling like I was done with it yet. Could be because I didn’t want to finish it or because I do want to return to it one day. ","Tracking",7/9/24,5/11/24,Book,false,0.0,,"Recommended by Jason on Triple Click. Linguistics and sociology of cultish things. This same author recommended by Brea for new book about psychology. "
"Dhalgren","Did Not Finish","I put this down without feeling like I was done with it yet. Could be because I didn’t want to finish it or because I do want to return to it one day. ","Tracking",9/7/23,9/7/23,Book,false,0.0,,""
"Dicey Dungeons","Did Not Finish","I put this down without feeling like I was done with it yet. Could be because I didn’t want to finish it or because I do want to return to it one day. ","Tracking",9/7/23,9/7/23,Video Game,false,0.0,,""
"Disc Room","Did Not Finish","I put this down without feeling like I was done with it yet. Could be because I didn’t want to finish it or because I do want to return to it one day. ","Tracking",9/7/23,9/7/23,Video Game,false,0.0,,""
"Disrupting the Game","Did Not Finish","I put this down without feeling like I was done with it yet. Could be because I didn’t want to finish it or because I do want to return to it one day. ","Tracking",9/7/23,9/7/23,Book,false,0.0,,""
"Elden Ring","Did Not Finish","I put this down without feeling like I was done with it yet. Could be because I didn’t want to finish it or because I do want to return to it one day. ","Tracking",9/7/23,9/7/23,Video Game,false,0.0,,""
"Everything Is Illuminated","Did Not Finish","I put this down without feeling like I was done with it yet. Could be because I didn’t want to finish it or because I do want to return to it one day. ","Tracking",9/7/23,9/7/23,Book,false,0.0,,""
"Fez","Did Not Finish","I put this down without feeling like I was done with it yet. Could be because I didn’t want to finish it or because I do want to return to it one day. ","Tracking",9/7/23,9/7/23,Video Game,false,0.0,,""
"Good Omens","Did Not Finish","I put this down without feeling like I was done with it yet. Could be because I didn’t want to finish it or because I do want to return to it one day. ","Tracking",9/7/23,9/7/23,Book,false,0.0,,""
"Guns, Germs, and Steel: The Fates of Human Societies (20th Anniversary Edition)","Did Not Finish","I put this down without feeling like I was done with it yet. Could be because I didn’t want to finish it or because I do want to return to it one day. ","Tracking",9/7/23,9/7/23,Book,false,0.0,,""
"Hemingway Didn’t Say That","Did Not Finish","I put this down without feeling like I was done with it yet. Could be because I didn’t want to finish it or because I do want to return to it one day. ","Tracking",9/7/23,9/7/23,Book,false,0.0,,""
"I'm a Stranger Here Myself","Did Not Finish","I put this down without feeling like I was done with it yet. Could be because I didn’t want to finish it or because I do want to return to it one day. ","Tracking",9/7/23,9/7/23,Book,false,0.0,,""
"Into Wine","Did Not Finish","I put this down without feeling like I was done with it yet. Could be because I didn’t want to finish it or because I do want to return to it one day. ","Tracking",9/7/23,9/7/23,Book,false,0.0,,""
"Kolbe","Did Not Finish","I put this down without feeling like I was done with it yet. Could be because I didn’t want to finish it or because I do want to return to it one day. ","Tracking",9/7/23,9/7/23,Book,false,0.0,,"I was reading The Honest Spy - the american version of this"
"Marvel's Guardians of the Galaxy","Did Not Finish","I put this down without feeling like I was done with it yet. Could be because I didn’t want to finish it or because I do want to return to it one day. ","Tracking",9/7/23,9/7/23,Video Game,false,0.0,,""
"Mayflower","Did Not Finish","I put this down without feeling like I was done with it yet. Could be because I didn’t want to finish it or because I do want to return to it one day. ","Tracking",9/7/23,9/7/23,Book,false,0.0,,""
"Micro","Did Not Finish","I put this down without feeling like I was done with it yet. Could be because I didn’t want to finish it or because I do want to return to it one day. ","Tracking",9/7/23,9/7/23,Book,false,0.0,,""
"Ni no Kuni: Wrath of the White Witch","Did Not Finish","I put this down without feeling like I was done with it yet. Could be because I didn’t want to finish it or because I do want to return to it one day. ","Tracking",9/7/23,9/7/23,Video Game,false,0.0,,""
"Octopath Traveler II","Did Not Finish","I put this down without feeling like I was done with it yet. Could be because I didn’t want to finish it or because I do want to return to it one day. ","Tracking",10/3/24,7/26/24,Video Game,false,0.0,,""
"Parable of the Sower","Did Not Finish","I put this down without feeling like I was done with it yet. Could be because I didn’t want to finish it or because I do want to return to it one day. ","Tracking",9/7/23,9/7/23,Book,false,0.0,,""
"Pasta, Pane, Vino","Did Not Finish","I put this down without feeling like I was done with it yet. Could be because I didn’t want to finish it or because I do want to return to it one day. ","Tracking",9/7/23,9/7/23,Book,false,0.0,,""
"Pokémon Legends: Arceus","Did Not Finish","I put this down without feeling like I was done with it yet. Could be because I didn’t want to finish it or because I do want to return to it one day. ","Tracking",11/10/23,11/25/23,Video Game,false,0.0,,"Abandoned on November 10"
"PostgreSQL Query Optimization","Did Not Finish","I put this down without feeling like I was done with it yet. Could be because I didn’t want to finish it or because I do want to return to it one day. ","Tracking",5/26/24,5/26/24,Book,false,0.0,,"Good information, but I’m struggling to get through it. Goes into layout on disk for various data structures and indexes. Good info to return to after maybe more surface level reading elsewhere. "
"Practical Object-Oriented Design in Ruby: An Agile Primer","Did Not Finish","I put this down without feeling like I was done with it yet. Could be because I didn’t want to finish it or because I do want to return to it one day. ","Tracking",11/21/23,9/7/23,Book,false,0.0,,""
"Star Wars: Andor","Did Not Finish","I put this down without feeling like I was done with it yet. Could be because I didn’t want to finish it or because I do want to return to it one day. ","Tracking",2/12/24,12/1/23,TV Show,false,0.0,,""
"SteamWorld Heist","Did Not Finish","I put this down without feeling like I was done with it yet. Could be because I didn’t want to finish it or because I do want to return to it one day. ","Tracking",7/12/24,6/28/24,Video Game,false,0.0,,""
"Surely You Can't Be Serious","Did Not Finish","I put this down without feeling like I was done with it yet. Could be because I didn’t want to finish it or because I do want to return to it one day. ","Tracking",6/26/24,11/20/23,Book,false,0.0,,""
"Teenage Mutant Ninja Turtles: Shredder's Revenge","Did Not Finish","I put this down without feeling like I was done with it yet. Could be because I didn’t want to finish it or because I do want to return to it one day. ","Tracking",9/7/23,9/7/23,Video Game,false,0.0,,""
"The 5 Love Languages","Did Not Finish","I put this down without feeling like I was done with it yet. Could be because I didn’t want to finish it or because I do want to return to it one day. ","Tracking",9/7/23,9/7/23,Book,false,0.0,,""
"The Burial of Jesus: History and Faith","Did Not Finish","I put this down without feeling like I was done with it yet. Could be because I didn’t want to finish it or because I do want to return to it one day. ","Tracking",9/7/23,9/7/23,Book,false,0.0,,""
"The Count of Monte Cristo","Did Not Finish","I put this down without feeling like I was done with it yet. Could be because I didn’t want to finish it or because I do want to return to it one day. ","Tracking",9/7/23,9/7/23,Book,false,0.0,,""
"The Last Man","Did Not Finish","I put this down without feeling like I was done with it yet. Could be because I didn’t want to finish it or because I do want to return to it one day. ","Tracking",9/7/23,9/7/23,Book,false,0.0,,""
"The Lost Books of the Odyssey","Did Not Finish","I put this down without feeling like I was done with it yet. Could be because I didn’t want to finish it or because I do want to return to it one day. ","Tracking",9/7/23,9/7/23,Book,false,0.0,,""
"The Mountain of Silence","Did Not Finish","I put this down without feeling like I was done with it yet. Could be because I didn’t want to finish it or because I do want to return to it one day. ","Tracking",9/7/23,9/7/23,Book,false,0.0,,""
"The Muralist","Did Not Finish","I put this down without feeling like I was done with it yet. Could be because I didn’t want to finish it or because I do want to return to it one day. ","Tracking",9/7/23,9/7/23,Book,false,0.0,,""
"The Mysterious Island","Did Not Finish","I put this down without feeling like I was done with it yet. Could be because I didn’t want to finish it or because I do want to return to it one day. ","Tracking",9/7/23,9/7/23,Book,false,0.0,,""
"The Pedestrian","Did Not Finish","I put this down without feeling like I was done with it yet. Could be because I didn’t want to finish it or because I do want to return to it one day. ","Tracking",9/7/23,9/7/23,Video Game,false,0.0,,""
"The Perfect Prince","Did Not Finish","I put this down without feeling like I was done with it yet. Could be because I didn’t want to finish it or because I do want to return to it one day. ","Tracking",9/7/23,9/7/23,Book,false,0.0,,""
"The Silmarillion","Did Not Finish","I put this down without feeling like I was done with it yet. Could be because I didn’t want to finish it or because I do want to return to it one day. ","Tracking",9/7/23,9/7/23,Book,false,0.0,,""
"The Stand","Did Not Finish","I put this down without feeling like I was done with it yet. Could be because I didn’t want to finish it or because I do want to return to it one day. ","Tracking",9/7/23,9/7/23,Book,false,0.0,,""
"The Things They Carried","Did Not Finish","I put this down without feeling like I was done with it yet. Could be because I didn’t want to finish it or because I do want to return to it one day. ","Tracking",9/7/23,9/7/23,Book,false,0.0,,""
"The Unwritten Rules of PhD Research","Did Not Finish","I put this down without feeling like I was done with it yet. Could be because I didn’t want to finish it or because I do want to return to it one day. ","Tracking",9/7/23,9/7/23,Book,false,0.0,,""
"Tinker, Tailor, Soldier, Spy","Did Not Finish","I put this down without feeling like I was done with it yet. Could be because I didn’t want to finish it or because I do want to return to it one day. ","Tracking",9/7/23,9/7/23,Book,false,0.0,,""
"What the Dormouse Said","Did Not Finish","I put this down without feeling like I was done with it yet. Could be because I didn’t want to finish it or because I do want to return to it one day. ","Tracking",9/7/23,9/7/23,Book,false,0.0,,""
"Why We Sleep","Did Not Finish","I put this down without feeling like I was done with it yet. Could be because I didn’t want to finish it or because I do want to return to it one day. ","Tracking",9/7/23,9/7/23,Book,false,0.0,,""
"Batman: Arkham Asylum","Enjoy With The Season ","","Fun Lists",7/19/24,7/19/24,Video Game,false,0.0,,""
"I Am Setsuna","Enjoy With The Season ","","Fun Lists",7/19/24,7/19/24,Video Game,false,0.0,,""
"Paranormasight: The Seven Mysteries of Honjo","Enjoy With The Season ","","Fun Lists",7/19/24,7/19/24,Video Game,false,0.0,,""
"A Highland Song","Gaming 🎮","","Backlogs",2/17/24,12/14/23,Video Game,false,0.0,,"Recommended by KurtPlatforming. Narrative. Rhythm. Explore to beautiful music. "
"A Space for the Unbound","Gaming 🎮","","Backlogs",11/28/23,11/28/23,Video Game,false,0.0,,"An adventure game! Looks dun"
"Animal Well","Gaming 🎮","","Backlogs",5/9/24,5/9/24,Video Game,false,0.0,,""
"Armored Core VI: Fires of Rubicon","Gaming 🎮","","Backlogs",9/4/23,9/4/23,Video Game,false,0.0,,""
"Army of Ruin","Gaming 🎮","","Backlogs",10/30/23,10/30/23,Video Game,false,0.0,,"Recommended by CPGrey as an aesthetically pleasant bullet heaven. "
"Assassin's Creed Mirage","Gaming 🎮","","Backlogs",10/10/23,10/10/23,Video Game,false,0.0,,""
"Astral Ascent","Gaming 🎮","","Backlogs",11/18/23,1/2/24,Video Game,false,0.0,,"Stephen Hilger "
"Backpack Hero","Gaming 🎮","","Backlogs",12/1/23,12/1/23,Video Game,false,0.0,,"Besties recommended. Combat like slay the spire or dicey dungeons. But you pack a bag as your load out. Permanent progression hooks. "
"Baldur's Gate 3","Gaming 🎮","","Backlogs",12/4/23,12/4/23,Video Game,false,0.0,,""
"Cyberpunk 2077","Gaming 🎮","","Backlogs",12/4/23,12/4/23,Video Game,false,0.0,,"Really want to play through 2.0 update on Xbox "
"Device 6","Gaming 🎮","","Backlogs",7/9/24,7/9/24,Video Game,false,0.0,,"Essential iOS game. Adventure game - a novel and a puzzle. "
"Devil Blade Reboot","Gaming 🎮","","Backlogs",6/12/24,6/12/24,Video Game,false,0.0,,"Plante’s recommendation for best beginner SHMUP"
"Dragon's Dogma II","Gaming 🎮","","Backlogs",12/4/23,12/4/23,Video Game,false,0.0,,""
"I Am Setsuna","Gaming 🎮","","Backlogs",7/19/24,7/19/24,Video Game,false,0.0,,""
"Immortals of Aveum","Gaming 🎮","","Backlogs",9/11/23,9/11/23,Video Game,false,0.0,,""
"Jet Lancer","Gaming 🎮","","Backlogs",11/25/23,11/25/23,Video Game,false,0.0,,"Recommended by Polygon as one of the best Switch games. Plays well handheld. "
"Journey","Gaming 🎮","","Backlogs",9/16/23,9/16/23,Video Game,false,0.0,,"Supposed to be very chill and positive experience. "
"Lil Gator Game","Gaming 🎮","","Backlogs",12/1/23,12/1/23,Video Game,false,0.0,,""
"Littlewood","Gaming 🎮","","Backlogs",12/6/23,12/6/23,Video Game,false,0.0,,"Relaxing town management "
"Metroid Prime Remastered","Gaming 🎮","","Backlogs",2/17/24,5/9/24,Video Game,false,0.0,,""
"Murder by Numbers","Gaming 🎮","","Backlogs",12/6/23,6/11/24,Video Game,true,0.0,,"Picross meets murder mystery!!!!"
"Neon White","Gaming 🎮","","Backlogs",2/26/24,2/26/24,Video Game,false,0.0,,""
